[09/14/18 10:39:51 INFO] Training Sequence to Sequence with Attention model
[09/14/18 10:39:51 INFO] Loading data from '../data/-train2.t7'...
[09/14/18 10:39:55 INFO]  * vocabulary size: source = 50004; target = 50004
[09/14/18 10:39:55 INFO]  * additional features: source = 0; target = 0
[09/14/18 10:39:55 INFO]  * maximum sequence length: source = 50; target = 51
[09/14/18 10:39:55 INFO]  * number of training sentences: 80850
[09/14/18 10:39:55 INFO]  * 1291 batches, max size: 64 (even), avg size: 62.625871, capacity: 100%
[09/14/18 10:39:55 INFO] Building model...
[09/14/18 10:39:55 INFO]  * Encoder:
[09/14/18 10:39:58 INFO]    - with word embeddings size: 256
[09/14/18 10:39:58 INFO]    - Simple LSTM Encoder: 1 layers, rnn_size 256, dropout 0.3
[09/14/18 10:39:58 INFO]  * Decoder:
[09/14/18 10:39:59 INFO]    - with word embeddings size: 256
[09/14/18 10:39:59 INFO]    - Global Attention: general
[09/14/18 10:39:59 INFO] Initializing parameters...
[09/14/18 10:40:00 INFO]  * number of parameters: 39964500
[09/14/18 10:40:00 INFO] Preparing memory optimization...
[09/14/18 10:40:00 INFO]  * sharing 67% of output/gradInput tensors memory between clones
[09/14/18 10:40:00 INFO] Start training...
[09/14/18 10:40:00 INFO] 
[09/14/18 17:30:12 INFO] Epoch 5 ; Iteration 100/1291 ; Learning rate 1.0000 ; Source tokens/s 232 ; Perplexity 10.95
[09/14/18 17:33:48 INFO] Epoch 5 ; Iteration 150/1291 ; Learning rate 1.0000 ; Source tokens/s 247 ; Perplexity 11.13
[09/14/18 17:37:40 INFO] Epoch 5 ; Iteration 200/1291 ; Learning rate 1.0000 ; Source tokens/s 228 ; Perplexity 12.24
[09/14/18 17:41:30 INFO] Epoch 5 ; Iteration 250/1291 ; Learning rate 1.0000 ; Source tokens/s 230 ; Perplexity 11.70
[09/14/18 17:45:20 INFO] Epoch 5 ; Iteration 300/1291 ; Learning rate 1.0000 ; Source tokens/s 248 ; Perplexity 12.06
[09/14/18 17:48:50 INFO] Epoch 5 ; Iteration 350/1291 ; Learning rate 1.0000 ; Source tokens/s 227 ; Perplexity 12.17
[09/14/18 17:52:21 INFO] Epoch 5 ; Iteration 400/1291 ; Learning rate 1.0000 ; Source tokens/s 216 ; Perplexity 10.64
[09/14/18 17:56:15 INFO] Epoch 5 ; Iteration 450/1291 ; Learning rate 1.0000 ; Source tokens/s 233 ; Perplexity 12.05
[09/14/18 17:59:58 INFO] Epoch 5 ; Iteration 500/1291 ; Learning rate 1.0000 ; Source tokens/s 228 ; Perplexity 12.74
[09/14/18 18:03:37 INFO] Epoch 5 ; Iteration 550/1291 ; Learning rate 1.0000 ; Source tokens/s 245 ; Perplexity 11.41
[09/14/18 18:06:48 INFO] Epoch 5 ; Iteration 600/1291 ; Learning rate 1.0000 ; Source tokens/s 216 ; Perplexity 10.05
[09/14/18 18:10:16 INFO] Epoch 5 ; Iteration 650/1291 ; Learning rate 1.0000 ; Source tokens/s 214 ; Perplexity 10.37
[09/14/18 18:13:50 INFO] Epoch 5 ; Iteration 700/1291 ; Learning rate 1.0000 ; Source tokens/s 224 ; Perplexity 11.15
[09/14/18 18:17:19 INFO] Epoch 5 ; Iteration 750/1291 ; Learning rate 1.0000 ; Source tokens/s 231 ; Perplexity 11.58
[09/14/18 18:21:06 INFO] Epoch 5 ; Iteration 800/1291 ; Learning rate 1.0000 ; Source tokens/s 214 ; Perplexity 11.61
[09/14/18 18:24:28 INFO] Epoch 5 ; Iteration 850/1291 ; Learning rate 1.0000 ; Source tokens/s 232 ; Perplexity 11.74
[09/14/18 18:27:51 INFO] Epoch 5 ; Iteration 900/1291 ; Learning rate 1.0000 ; Source tokens/s 241 ; Perplexity 10.51
[09/14/18 18:31:23 INFO] Epoch 5 ; Iteration 950/1291 ; Learning rate 1.0000 ; Source tokens/s 216 ; Perplexity 11.00
[09/14/18 18:34:56 INFO] Epoch 5 ; Iteration 1000/1291 ; Learning rate 1.0000 ; Source tokens/s 223 ; Perplexity 11.53
[09/14/18 18:38:45 INFO] Epoch 5 ; Iteration 1050/1291 ; Learning rate 1.0000 ; Source tokens/s 223 ; Perplexity 12.06
[09/14/18 18:42:30 INFO] Epoch 5 ; Iteration 1100/1291 ; Learning rate 1.0000 ; Source tokens/s 223 ; Perplexity 11.89
[09/14/18 18:46:12 INFO] Epoch 5 ; Iteration 1150/1291 ; Learning rate 1.0000 ; Source tokens/s 228 ; Perplexity 11.44
[09/14/18 18:50:19 INFO] Epoch 5 ; Iteration 1200/1291 ; Learning rate 1.0000 ; Source tokens/s 244 ; Perplexity 12.07
[09/14/18 18:53:42 INFO] Epoch 5 ; Iteration 1250/1291 ; Learning rate 1.0000 ; Source tokens/s 227 ; Perplexity 10.43
[09/14/18 18:56:27 INFO] Epoch 5 ; Iteration 1291/1291 ; Learning rate 1.0000 ; Source tokens/s 216 ; Perplexity 10.70
[09/14/18 19:03:44 INFO] Validation perplexity: 9.85
[09/14/18 19:03:44 INFO] Saving checkpoint to '../models/nts2_epoch5_9.85.t7'...
[09/14/18 19:03:46 INFO] 
[09/14/18 19:07:52 INFO] Epoch 6 ; Iteration 50/1291 ; Learning rate 1.0000 ; Source tokens/s 235 ; Perplexity 11.07
[09/14/18 19:11:41 INFO] Epoch 6 ; Iteration 100/1291 ; Learning rate 1.0000 ; Source tokens/s 227 ; Perplexity 9.62
[09/14/18 19:14:56 INFO] Epoch 6 ; Iteration 150/1291 ; Learning rate 1.0000 ; Source tokens/s 227 ; Perplexity 8.87
